r-ID	Equation in HC-ID	Equation with names	Reaction Category	dG	KEGG	Recon1	References
r0001	HC00683_c --> HC00165_c + HC02119_c	S-Adenosylmethioninamine(c) --> 5-Methylthioadenosine(c) + Adenosylmethioninamine-potential(c)	Virtual reaction/potential definition			 	
r0002	HC00270_c <=> HC00270_r	L-Carnitine(c) <=> L-Carnitine(r)	Active transport	0		 	PMID:10460205 PMID:1296165 PMID:16288981 PMID:17466261 PMID:2199597 PMID:6219439 PMID:6361812 PMID:8353366
r0003	HC01940_r <-- 2 HC00004_r + 90 HC02000_r + 30 HC02006_r + 20 HC00178_r + 25 HC02002_r + 75 HC02007_r	HDL(r) <-- 2 ApoA1(r) + 90 PC-VLDL-pool(r) + 30 PS-VLDL-pool(r) + 20 Cholesterol(r) + 25 PE-VLDL-pool(r) + 75 SM-pool(r)	Particle dis-/assembly			 	
r0004	HC01940_l --> 2 HC00004_l + 90 HC02000_l + 30 HC02006_l + 20 HC00178_l + 25 HC02002_l + 75 HC02007_l	HDL(l) --> 2 ApoA1(l) + 90 PC-VLDL-pool(l) + 30 PS-VLDL-pool(l) + 20 Cholesterol(l) + 25 PE-VLDL-pool(l) + 75 SM-pool(l)	Particle dis-/assembly			 	
r0005	HC00011_c + HC00906_c --> HC00032_c + HC00024_c	H2O(c) + Dehydroalanine(c) --> Pyruvate(c) + NH3(c)	EC:4.3.1.17	13.046	R08698	 2AMACHYD	PMID:15618015 PMID:4156834
r0006	HC00023_r + HC00011_r --> 2 HC00019_r	PPi(r) + H2O(r) --> 2 Pi(r)	EC:3.6.1.1	-24.8	R00004	 PPAer	PMID:10542310 PMID:16300924
r0007	HC00023_c + HC00011_c --> 2 HC00019_c	PPi(c) + H2O(c) --> 2 Pi(c)	EC:3.6.1.1	-24.8	R00004	 PPA	PMID:10542310 PMID:16300924
r0008	HC00023_m + HC00011_m --> 2 HC00019_m	PPi(m) + H2O(m) --> 2 Pi(m)	EC:3.6.1.1	-24.8	R00004	 PPAm	PMID:10542310 PMID:16300924
r0009	HC00023_p + HC00011_p --> 2 HC00019_p	PPi(p) + H2O(p) --> 2 Pi(p)	EC:3.6.1.1	-24.8	R00004	 	PMID:10542310 PMID:16300924
r0010	2 HC00036_c --> HC00017_c + 2 HC00011_c	2 H2O2(c) --> O2(c) + 2 H2O(c)	EC:1.11.1.6	-189.92	R00009	 	PMID:12054464 PMID:1657986
r0011	2 HC00036_m --> HC00017_m + 2 HC00011_m	2 H2O2(m) --> O2(m) + 2 H2O(m)	EC:1.11.1.6	-189.92	R00009	 CATm	PMID:12054464 PMID:1657986
r0012	2 HC00036_p --> HC00017_p + 2 HC00011_p	2 H2O2(p) --> O2(p) + 2 H2O(p)	EC:1.11.1.6	-189.92	R00009	 CATp	PMID:12054464 PMID:1657986
r0013	HC00822_l + HC00011_l --> 2 HC00138_l	Chitobiose(l) + H2O(l) --> 2 N-Acetylglucosamine(l)	EC:3.2.1.52	-13.0335	R00022	 	PMID:10481922 PMID:2423070 PMID:6219664 PMID:758959
r0014	HC00011_s + HC00194_s <=> 2 HC00040_s	H2O(s) + Maltose(s) <=> 2 Glucose(s)	EC:3.2.1.20	-19.92	R00028	 MALTe	PMID: PMID:1885588 PMID:2141837 PMID:3128290 PMID:6362728 PMID:7358666
r0015	2 HC00349_c --> HC00588_c + 2 HC00011_c	2 5-Aminolevulinate(c) --> Porphobilinogen(c) + 2 H2O(c)	EC:4.2.1.24	-64.0748	R00036	 PPBNGS	PMID:15144063 PMID:2394940
r0016	HC00017_s + 4 HC01846_s <=> 2 HC00011_s + 4 HC01847_s	O2(s) + 4 Fe2+(s) <=> 2 H2O(s) + 4 Fe3+(s)	EC:1.16.3.1	-34.2216	R00078	 	PMID:16405854 PMID:2154449 PMID:9162052 PMID:9722559
